"district","date","disease","cases","turbidity_NTU","water_surface_temp_C","chlorophyll_a_mg_m3","NDWI","NDVI","EVI","SPM_mg_L","surface_reflectance_B3","surface_reflectance_B4","surface_reflectance_B5","month"
"Kamrup","2023-01-15","Typhoid","2","4.34","19.7","5.92","0.055","0.41","0.386","13.1","0.0241","0.0268","0.0088","1"
"Kamrup","2023-01-15","Hepatitis A/E","6","9.2","20.4","6.94","0.133","0.306","0.132","16.5","0.0327","0.0276","0.0047","1"
"Kamrup","2023-01-16","Hepatitis A/E","1","8.15","20.3","6.54","0.097","0.381","0.221","12.1","0.0513","0.03","0.0072","1"
"Kamrup","2023-01-16","Typhoid","10","6.84","20.7","8.79","0.035","0.247","0.22","15.1","0.0419","0.0214","0.0131","1"
"Kamrup","2023-01-17","Typhoid","5","10.29","23.3","5.12","0.123","0.452","0.252","13.6","0.0491","0.0421","0.0216","1"
"Kamrup","2023-01-17","Acute Gastroenteritis/Dysentery","11","5.27","23.3","6.43","0.185","0.479","0.374","15.1","0.0269","0.023","0.0188","1"
"Kamrup","2023-01-17","Acute Gastroenteritis/Dysentery","1","13.99","26","7.25","0.049","0.591","0.384","13.9","0.0424","0.0295","0.0202","1"
"Kamrup","2023-01-18","Acute Gastroenteritis/Dysentery","14","3.26","22","5.52","0.141","0.471","0.335","10.6","0.0443","0.0267","0.0196","1"
"Kamrup","2023-01-19","Hepatitis A/E","10","6.94","21.1","5.9","0.192","0.367","0.27","3.8","0.0501","0.0476","0.0075","1"
"Kamrup","2023-01-20","Leptospirosis","2","9.24","25.8","4.45","0.038","0.258","0.255","18.3","0.0392","0.0278","0.006","1"
"Kamrup","2023-01-21","Cholera","9","8.75","19.7","3.32","0.194","0.415","0.295","14.5","0.0517","0.0504","0.0192","1"
"Kamrup","2023-01-22","Cholera","7","6.99","25.3","5.48","0.025","0.38","0.253","1.5","0.0392","0.0227","0.0206","1"
"Kamrup","2023-01-23","Typhoid","6","8.33","24.3","4.84","0.054","0.33","0.151","21.7","0.0351","0.0205","0.001","1"
"Kamrup","2023-01-24","Leptospirosis","4","8.7","25.6","2.93","0.24","0.527","0.368","13.5","0.0293","0.0261","0.0135","1"
"Kamrup","2023-01-24","Typhoid","2","7.23","24","2.75","0.117","0.402","0.211","6.5","0.0552","0.0346","0.0164","1"
"Kamrup","2023-01-25","Typhoid","12","2.99","25.5","3.52","0.059","0.505","0.266","18.8","0.0188","0.0375","0.001","1"
"Kamrup","2023-01-26","Hepatitis A/E","3","14.84","16.4","7.74","0.153","0.291","0.18","10","0.0678","0.036","0.0242","1"
"Kamrup","2023-01-27","Leptospirosis","3","11.09","22.9","6.51","0.149","0.533","0.424","5.8","0.0208","0.0188","0.0152","1"
"Kamrup","2023-01-27","Hepatitis A/E","3","5.23","19.3","4.05","0.153","0.324","0.358","17.5","0.0428","0.0164","0.0206","1"
"Kamrup","2023-01-28","Hepatitis A/E","3","8.54","21.3","9.95","0.098","0.275","0.173","17.5","0.048","0.0141","0.0224","1"
"Kamrup","2023-01-29","Acute Gastroenteritis/Dysentery","5","4.04","21.5","8.13","0.106","0.465","0.357","21.4","0.0559","0.0205","0.0201","1"
"Kamrup","2023-01-30","Acute Gastroenteritis/Dysentery","17","2.14","21.4","6.72","0.071","0.385","0.262","21.8","0.0346","0.0386","0.001","1"
"Kamrup","2023-01-31","Acute Gastroenteritis/Dysentery","10","4.87","24.6","5.48","0.107","0.433","0.207","11.7","0.0557","0.0337","0.0173","1"
"Kamrup","2023-01-31","Typhoid","5","10.14","22.1","8.45","0.066","0.359","0.127","19.6","0.0447","0.0082","0.001","1"
"Kamrup","2023-02-01","Cholera","1","9.38","21.5","4.09","0.086","0.445","0.235","19.2","0.0431","0.0235","0.0097","2"
"Kamrup","2023-02-01","Leptospirosis","1","6.75","21.8","7.03","0.16","0.408","0.21","18.2","0.0768","0.0261","0.0013","2"
"Kamrup","2023-02-02","Cholera","7","7.6","24.3","3.01","0.064","0.352","0.245","17.5","0.037","0.0159","0.0228","2"
"Kamrup","2023-02-03","Acute Gastroenteritis/Dysentery","14","10.72","22.1","9.73","0.141","0.488","0.348","15.8","0.066","0.0212","0.0194","2"
"Kamrup","2023-02-04","Cholera","6","6.89","20.3","4.62","0.125","0.433","0.323","13.9","0.0401","0.0332","0.0031","2"
"Kamrup","2023-02-05","Cholera","3","7.08","22.4","6.5","0.179","0.392","0.289","18","0.0428","0.0205","0.0166","2"
"Kamrup","2023-02-05","Acute Gastroenteritis/Dysentery","14","6.56","22.3","6.73","0.074","0.39","0.171","18.7","0.0562","0.008","0.0117","2"
"Kamrup","2023-02-05","Leptospirosis","4","4.94","23.4","6.49","0.072","0.298","0.252","18.3","0.0385","0.0435","0.0064","2"
"Kamrup","2023-02-06","Cholera","8","9.52","21.9","6.54","0.088","0.457","0.356","17.3","0.0491","0.0156","0.0176","2"
"Kamrup","2023-02-07","Hepatitis A/E","6","9.12","20.5","3.28","0.084","0.341","0.238","7","0.0485","0.0187","0.023","2"
"Kamrup","2023-02-08","Leptospirosis","3","11.65","23.5","7.88","0.142","0.374","0.264","7.6","0.0387","0.0368","0.0097","2"
"Kamrup","2023-02-09","Cholera","9","13.06","21.1","9.46","0.154","0.589","0.391","13.2","0.0096","0.0307","0.018","2"
"Kamrup","2023-02-09","Cholera","3","3.84","19.8","7.84","0.128","0.408","0.272","16.1","0.0532","0.0398","0.0272","2"
"Kamrup","2023-02-09","Leptospirosis","1","5.47","22","3.26","0.076","0.292","0.186","13.3","0.0453","0.0241","0.019","2"
"Kamrup","2023-02-10","Typhoid","9","7.68","20.5","5.6","0.058","0.523","0.457","11.6","0.0441","0.0117","0.0236","2"
"Kamrup","2023-02-10","Leptospirosis","1","15.78","22.8","5.83","0.081","0.521","0.447","18","0.057","0.0122","0.0026","2"
"Kamrup","2023-02-11","Acute Gastroenteritis/Dysentery","11","3.33","21.5","1.81","0.113","0.379","0.327","18.2","0.0191","0.0166","0.0192","2"
"Kamrup","2023-02-12","Cholera","11","8.15","20.6","5.74","0.048","0.385","0.292","12.1","0.0401","0.0264","0.0186","2"
"Kamrup","2023-02-13","Acute Gastroenteritis/Dysentery","10","5.8","23","7.2","0.059","0.363","0.225","14.5","0.0396","0.0317","0.0109","2"
"Kamrup","2023-02-13","Cholera","6","10.52","25.6","4.02","0.078","0.271","0.236","13.3","0.0431","0.019","0.0124","2"
"Kamrup","2023-02-14","Hepatitis A/E","11","12.01","25.2","1.96","0.154","0.577","0.459","4.2","0.0665","0.0254","0.0131","2"
"Kamrup","2023-02-14","Typhoid","10","12.15","23.1","7.19","0.143","0.461","0.337","15.5","0.0391","0.0175","0.0128","2"
"Kamrup","2023-02-15","Leptospirosis","1","12.54","23.5","4.79","0.021","0.389","0.265","10.2","0.0483","0.0435","0.0168","2"
"Kamrup","2023-02-16","Typhoid","8","11.62","22.8","5.43","0.12","0.44","0.243","20.7","0.0355","0.0222","0.021","2"
"Kamrup","2023-02-17","Leptospirosis","9","4.44","22.6","7.27","0.121","0.385","0.263","15.2","0.0378","0.0346","0.0327","2"
"Kamrup","2023-02-18","Leptospirosis","4","6.15","25.8","9.42","0.079","0.431","0.362","18.4","0.0359","0.0175","0.0219","2"
"Kamrup","2023-02-19","Hepatitis A/E","3","11.72","21.6","4.96","0.11","0.292","0.246","23.4","0.0531","0.0225","0.0027","2"
"Kamrup","2023-02-19","Typhoid","8","7.67","20.2","4.53","0.162","0.487","0.372","9.5","0.0353","0.0371","0.0161","2"
"Kamrup","2023-02-20","Typhoid","9","5.64","19.3","2.33","0.125","0.312","0.111","16.9","0.0774","0.0249","0.0217","2"
"Kamrup","2023-02-21","Typhoid","15","8.17","23.1","5.86","0.124","0.405","0.185","10.3","0.0378","0.0129","0.0198","2"
"Kamrup","2023-02-21","Typhoid","4","9.94","24.7","4.8","0.013","0.343","0.283","17.7","0.0262","0.0402","0.0258","2"
"Kamrup","2023-02-21","Leptospirosis","4","10.76","21.4","6.53","0.116","0.347","0.292","14.1","0.0287","0.0304","0.0078","2"
"Kamrup","2023-02-22","Leptospirosis","7","6.7","24.7","3.45","0.167","0.244","0.306","13","0.0226","0.0227","0.0066","2"
"Kamrup","2023-02-23","Leptospirosis","4","9.25","24.2","5.76","0.078","0.465","0.26","6.3","0.0399","0.0211","0.0194","2"
"Kamrup","2023-02-23","Typhoid","13","9.76","23","1.14","0.095","0.279","0.182","14.4","0.0546","0.0247","0.0171","2"
"Kamrup","2023-02-24","Cholera","4","5.59","24.6","4.04","0.034","0.454","0.376","12.7","0.0335","0.0278","0.0093","2"
"Kamrup","2023-02-25","Typhoid","3","5.42","20.2","7.92","0.097","0.338","0.218","9.9","0.039","0.0333","0.0148","2"
"Kamrup","2023-02-25","Hepatitis A/E","1","6.22","19.4","2.52","0.003","0.446","0.32","12.6","0.035","0.0271","0.0137","2"
"Kamrup","2023-02-26","Hepatitis A/E","5","4.41","21.9","4.05","0.011","0.464","0.368","10.7","0.0437","0.035","0.0166","2"
"Kamrup","2023-02-26","Acute Gastroenteritis/Dysentery","15","10.51","20.4","8.43","0.093","0.471","0.366","9.8","0.0475","0.0283","0.0152","2"
"Kamrup","2023-02-27","Typhoid","10","7.6","22","4.43","0.132","0.39","0.294","10.6","0.0334","0.0322","0.012","2"
"Kamrup","2023-02-28","Hepatitis A/E","6","13.04","20.5","8.33","0.071","0.414","0.248","26.1","0.0356","0.0263","0.0095","2"
"Kamrup","2023-02-28","Hepatitis A/E","9","11.2","23.7","6.16","0.165","0.328","0.214","10.6","0.0517","0.0192","0.0136","2"
"Kamrup","2023-02-28","Hepatitis A/E","10","10.55","23.8","6.71","0.102","0.441","0.266","23.4","0.0651","0.0293","0.0166","2"
"Kamrup","2023-03-01","Acute Gastroenteritis/Dysentery","6","5.93","25.3","1.14","0.06","0.313","0.235","12.6","0.0421","0.0223","0.007","3"
"Kamrup","2023-03-01","Hepatitis A/E","5","10.66","29.9","11.73","0.112","0.393","0.263","11.4","0.0327","0.0355","0.0313","3"
"Kamrup","2023-03-02","Typhoid","17","10.36","29.3","7.75","0.107","0.279","0.242","17.4","0.0483","0.024","0.0338","3"
"Kamrup","2023-03-03","Leptospirosis","4","5.08","33.4","18.33","0.119","0.446","0.413","13.7","0.0295","0.0174","0.0029","3"
"Kamrup","2023-03-03","Leptospirosis","1","6.18","36.9","13.06","0.07","0.33","0.233","12.5","0.0191","0.0394","0.0167","3"
"Kamrup","2023-03-03","Cholera","2","4.63","34","18.53","0.087","0.376","0.228","13.5","0.0278","0.0037","0.0147","3"
"Kamrup","2023-03-04","Hepatitis A/E","4","2.51","32.6","13.45","0.168","0.395","0.303","18.8","0.0371","0.0128","0.0159","3"
"Kamrup","2023-03-04","Hepatitis A/E","7","7","30.8","8.18","0.121","0.465","0.272","15.1","0.0612","0.0242","0.0186","3"
"Kamrup","2023-03-05","Leptospirosis","6","11.56","39.8","14.32","0.116","0.316","0.203","16.7","0.0356","0.0267","0.0255","3"
"Kamrup","2023-03-05","Acute Gastroenteritis/Dysentery","12","7.73","25.3","10.01","0.15","0.344","0.199","12.2","0.0338","0.0184","0.001","3"
"Kamrup","2023-03-05","Typhoid","18","10.39","33.9","10.09","0.133","0.275","0.158","17.3","0.0249","0.0228","0.0102","3"
"Kamrup","2023-03-06","Leptospirosis","1","12.37","30.5","11.21","0.115","0.323","0.263","13.1","0.0229","0.0119","0.0104","3"
"Kamrup","2023-03-06","Leptospirosis","3","7.85","31.1","13.55","0.065","0.367","0.282","15.2","0.0423","0.0454","0.0225","3"
"Kamrup","2023-03-07","Acute Gastroenteritis/Dysentery","16","2.9","33.6","14.98","0.056","0.248","0.181","9","0.0209","0.0374","0.0159","3"
"Kamrup","2023-03-08","Hepatitis A/E","8","6.46","32.1","9.93","0.112","0.294","0.25","13.1","0.0267","0.0215","0.0122","3"
"Kamrup","2023-03-09","Hepatitis A/E","5","9.06","31.9","9.51","0.023","0.308","0.192","14","0.0446","0.002","0.0027","3"
"Kamrup","2023-03-09","Leptospirosis","1","7.39","32","16.34","0.071","0.338","0.373","16.9","0.0373","0.0172","0.0134","3"
"Kamrup","2023-03-09","Cholera","5","6.8","30","6.49","0.007","0.367","0.247","18.9","0.063","0.0342","0.0107","3"
"Kamrup","2023-03-10","Typhoid","24","11.8","29.4","15.88","0.121","0.248","0.263","9","0.0538","0.035","0.0096","3"
"Kamrup","2023-03-10","Leptospirosis","1","7.1","31","17.33","0.138","0.403","0.288","16.6","0.0685","0.0166","0.0142","3"
"Kamrup","2023-03-10","Typhoid","19","5.88","33","8.67","-0.01","0.229","0.145","22.6","0.0326","0.0301","0.0137","3"
"Kamrup","2023-03-11","Typhoid","14","7.6","34.4","15.17","0.013","0.404","0.2","20.2","0.0569","0.0141","0.0117","3"
"Kamrup","2023-03-12","Hepatitis A/E","2","3.76","35.6","11.4","0.064","0.389","0.213","6.9","0.0591","0.0439","0.0113","3"
"Kamrup","2023-03-13","Leptospirosis","1","4.71","30.9","4.78","0.082","0.293","0.216","16.2","0.0536","0.0096","0.0031","3"
"Kamrup","2023-03-14","Hepatitis A/E","4","5.64","30.1","11.33","0.076","0.142","0.137","9.6","0.0436","0.0457","0.0076","3"
"Kamrup","2023-03-15","Acute Gastroenteritis/Dysentery","6","13.16","31.1","12.34","0.096","0.342","0.253","16.3","0.0247","0.0081","0.0241","3"
"Kamrup","2023-03-16","Leptospirosis","2","6.43","31.9","8.36","0.101","0.296","0.289","14.6","0.0111","0.0517","0.0227","3"
"Kamrup","2023-03-17","Acute Gastroenteritis/Dysentery","8","9.61","32.9","3.2","0.014","0.421","0.38","14.5","0.0609","0.0148","0.0086","3"
"Kamrup","2023-03-18","Acute Gastroenteritis/Dysentery","19","10.17","29.4","20.96","0.123","0.387","0.295","21.1","0.027","0.0395","0.0161","3"
"Kamrup","2023-03-19","Typhoid","22","7.63","30.9","9.54","0.109","0.337","0.26","16.7","0.0501","0.0228","0.008","3"
"Kamrup","2023-03-20","Hepatitis A/E","3","13.18","34","13.56","0.14","0.289","0.121","17.2","0.0287","0.014","0.0201","3"
"Kamrup","2023-03-20","Typhoid","14","6.59","29.9","12.24","0.083","0.314","0.28","13","0.0193","0.018","0.0197","3"
"Kamrup","2023-03-21","Typhoid","16","9.28","38.7","5.74","0.089","0.213","0.098","10","0.0425","0.0273","0.0184","3"
"Kamrup","2023-03-21","Hepatitis A/E","4","5.39","31.4","14.24","0.069","0.356","0.329","15.9","0.0535","0.0043","0.0116","3"
"Kamrup","2023-03-22","Acute Gastroenteritis/Dysentery","5","8.57","32.2","7.78","0.153","0.316","0.207","12.8","0.0421","0.0291","0.014","3"
"Kamrup","2023-03-22","Leptospirosis","4","8.79","32.6","15.4","0.093","0.331","0.227","16.3","0.0313","0.002","0.0139","3"
"Kamrup","2023-03-22","Hepatitis A/E","8","6.64","36.4","13.31","0.115","0.35","0.188","20.2","0.0389","0.0317","0.0064","3"
"Kamrup","2023-03-23","Typhoid","13","7.31","29","1.75","0.09","0.493","0.384","14.9","0.0361","0.0252","0.0194","3"
"Kamrup","2023-03-23","Typhoid","14","5.39","35.4","7.24","0.182","0.228","0.191","13.4","0.049","0.0196","0.0137","3"
"Kamrup","2023-03-24","Acute Gastroenteritis/Dysentery","10","8.89","33.7","12.6","0.132","0.243","0.168","19.2","0.0666","0.0463","0.0185","3"
"Kamrup","2023-03-24","Hepatitis A/E","3","10.02","33.8","10.58","0.071","0.308","0.293","8.8","0.018","0.0266","0.0154","3"
"Kamrup","2023-03-25","Hepatitis A/E","8","9.49","35.4","18.32","0.049","0.235","0.102","13.8","0.047","0.0349","0.0144","3"
"Kamrup","2023-03-25","Cholera","2","8.11","33.8","12.02","0.019","0.258","0.192","19.2","0.0307","0.0469","0.001","3"
"Kamrup","2023-03-26","Acute Gastroenteritis/Dysentery","6","8.9","34.1","2.5","0.13","0.239","0.183","14.9","0.0742","0.0305","0.0141","3"
"Kamrup","2023-03-27","Hepatitis A/E","5","9.61","34.3","17.44","0.05","0.342","0.233","14.5","0.046","0.0291","0.0192","3"
"Kamrup","2023-03-28","Cholera","9","10.65","30.6","10.12","0.113","0.265","0.182","25.5","0.0363","0.0214","0.0098","3"
"Kamrup","2023-03-29","Acute Gastroenteritis/Dysentery","14","6.05","36","17.68","0.07","0.151","0.156","11.6","0.0519","0.0053","0.0221","3"
"Kamrup","2023-03-30","Typhoid","27","6.78","34.1","12.42","0.129","0.458","0.242","23.1","0.0416","0.016","0.0044","3"
"Kamrup","2023-03-30","Typhoid","21","3.74","32.6","8.56","0.048","0.266","0.19","8.1","0.0608","0.0318","0.0121","3"
"Kamrup","2023-03-31","Acute Gastroenteritis/Dysentery","12","6.04","35.6","12.25","0.166","0.252","0.174","16.8","0.0373","0.0345","0.001","3"
"Kamrup","2023-04-01","Leptospirosis","1","6.25","30.2","11.89","0.089","0.252","0.128","19.1","0.0601","0.0398","0.0112","4"
"Kamrup","2023-04-02","Leptospirosis","2","10.12","29.7","7.31","0.107","0.197","0.048","15.7","0.0138","0.0328","0.0038","4"
"Kamrup","2023-04-02","Cholera","4","11.25","35","15.26","0.096","0.387","0.317","12.9","0.0501","0.0196","0.0193","4"
"Kamrup","2023-04-03","Hepatitis A/E","9","7.12","31.8","5.93","0.082","0.371","0.289","17.5","0.0407","0.0251","0.0097","4"
"Kamrup","2023-04-04","Leptospirosis","5","9.13","34.4","9.4","0.139","0.389","0.369","15.3","0.0304","0.015","0.0062","4"
"Kamrup","2023-04-04","Acute Gastroenteritis/Dysentery","10","6.39","26.9","7.53","0.162","0.288","0.174","15.8","0.0475","0.0362","0.0266","4"
"Kamrup","2023-04-05","Acute Gastroenteritis/Dysentery","13","5.11","29.1","13.38","0.098","0.303","0.174","13.8","0.0261","0.0339","0.0233","4"
"Kamrup","2023-04-06","Acute Gastroenteritis/Dysentery","9","7.75","27.7","8.31","0.05","0.317","0.225","11.4","0.0427","0.0195","0.0128","4"
"Kamrup","2023-04-07","Hepatitis A/E","2","10.46","36.6","7.51","0.054","0.381","0.281","17.8","0.0451","0.0289","0.0044","4"
"Kamrup","2023-04-08","Cholera","3","6.84","33.3","8.54","0.093","0.325","0.237","7","0.0334","0.0418","0.0111","4"
"Kamrup","2023-04-08","Typhoid","13","6.49","32.8","13.18","0.088","0.237","0.132","10.4","0.0275","0.0243","0.0093","4"
"Kamrup","2023-04-09","Typhoid","18","9.5","33.4","12.3","0.137","0.339","0.175","19.3","0.0533","0.0174","0.0153","4"
"Kamrup","2023-04-09","Typhoid","13","2.85","32.9","15.24","0.087","0.389","0.304","25.7","0.0287","0.0333","0.0069","4"
"Kamrup","2023-04-10","Hepatitis A/E","7","8.08","26.2","11.94","0.066","0.261","0.255","8.7","0.0522","0.0222","0.0128","4"
"Kamrup","2023-04-11","Typhoid","22","9.71","34.9","10.67","0.069","0.213","0.108","29.7","0.0587","0.0115","0.0044","4"
"Kamrup","2023-04-12","Cholera","4","7.31","29.4","12.7","0.249","0.329","0.215","19.6","0.0472","0.0292","0.0199","4"
"Kamrup","2023-04-12","Cholera","5","9.67","29.2","10.33","0.085","0.378","0.311","8.8","0.0408","0.0179","0.0049","4"
"Kamrup","2023-04-13","Hepatitis A/E","6","3.87","30.3","16.09","0.204","0.173","0.027","24.4","0.0458","0.0163","0.0193","4"
"Kamrup","2023-04-14","Acute Gastroenteritis/Dysentery","11","4.96","32.3","8.3","0.113","0.228","0.139","10","0.0498","0.0336","0.0131","4"
"Kamrup","2023-04-15","Cholera","15","7.84","35.7","16.39","0.069","0.194","0.126","11","0.039","0.0374","0.0113","4"
"Kamrup","2023-04-16","Typhoid","14","8.46","35.5","11.85","0.118","0.323","0.227","14.7","0.0314","0.0265","0.0127","4"
"Kamrup","2023-04-16","Acute Gastroenteritis/Dysentery","12","10.69","35.8","14.61","0.043","0.284","0.198","18","0.05","0.0177","0.0157","4"
"Kamrup","2023-04-16","Cholera","6","4.55","27.2","10.05","0.066","0.199","0.239","17.6","0.0462","0.0409","0.0171","4"
"Kamrup","2023-04-17","Leptospirosis","1","9.17","28.3","15.77","0.143","0.466","0.397","14.2","0.0238","0.0307","0.0145","4"
"Kamrup","2023-04-18","Cholera","7","11.12","33.5","11.37","0.165","0.359","0.292","12.9","0.0324","0.008","0.0129","4"
"Kamrup","2023-04-19","Acute Gastroenteritis/Dysentery","15","4.29","35.5","14.68","0.085","0.262","0.216","11.5","0.0419","0.0366","0.0085","4"
"Kamrup","2023-04-20","Typhoid","17","11.64","30.2","4.75","0.132","0.204","0.177","21.7","0.0494","0.0357","0.0312","4"
"Kamrup","2023-04-20","Leptospirosis","7","11.16","32.6","6.05","0.03","0.421","0.363","2.4","0.0196","0.0364","0.0149","4"
"Kamrup","2023-04-21","Cholera","7","11.03","36","9.03","0.076","0.398","0.363","17.8","0.0268","0.0449","0.0108","4"
"Kamrup","2023-04-22","Typhoid","16","13.72","30.6","12.97","0.136","0.395","0.291","11.8","0.0433","0.0208","0.017","4"
"Kamrup","2023-04-22","Acute Gastroenteritis/Dysentery","1","8.59","29.7","7.48","0.131","0.35","0.205","19.5","0.0305","0.0275","0.0216","4"
"Kamrup","2023-04-23","Leptospirosis","4","1.95","28.2","14.92","0.116","0.339","0.145","13","0.0605","0.024","0.0048","4"
"Kamrup","2023-04-23","Typhoid","12","11.7","24.4","10.35","0.076","0.199","0.169","7.9","0.0205","0.0335","0.027","4"
"Kamrup","2023-04-23","Leptospirosis","3","7.71","26.7","11.68","0.058","0.373","0.234","14.4","0.0305","0.0424","0.0124","4"
"Kamrup","2023-04-24","Acute Gastroenteritis/Dysentery","10","7.16","34.5","11.8","0.03","0.296","0.292","21.2","0.0391","0.0345","0.0121","4"
"Kamrup","2023-04-25","Hepatitis A/E","11","8.65","28.7","9.64","0.058","0.251","0.149","12.3","0.0525","0.014","0.0168","4"
"Kamrup","2023-04-26","Acute Gastroenteritis/Dysentery","9","6.41","33.5","7.59","0.134","0.333","0.217","10.8","0.0267","0.0303","0.0248","4"
"Kamrup","2023-04-27","Hepatitis A/E","7","10.1","32.5","13.72","0.168","0.369","0.334","15.4","0.0642","0.0286","0.0163","4"
"Kamrup","2023-04-27","Typhoid","15","11.39","34.3","12.53","0.08","0.356","0.193","22.7","0.0373","0.0281","0.0077","4"
"Kamrup","2023-04-28","Cholera","1","6.06","28.6","18.13","0.09","0.318","0.247","8.7","0.0469","0.026","0.0099","4"
"Kamrup","2023-04-29","Acute Gastroenteritis/Dysentery","13","10.62","27.5","12.64","0.227","0.354","0.236","12.2","0.0097","0.0297","0.0306","4"
"Kamrup","2023-04-29","Cholera","6","6.7","36.7","11.01","0.077","0.166","0.083","8.8","0.025","0.0262","0.0118","4"
"Kamrup","2023-04-30","Hepatitis A/E","1","8.99","32.1","11.7","0.135","0.262","0.162","19","0.0252","0.0162","0.0049","4"
"Kamrup","2023-05-01","Typhoid","13","11.62","34.3","13.87","0.176","0.224","0.244","19.7","0.0365","0.0364","0.0061","5"
"Kamrup","2023-05-02","Cholera","6","10.34","27.1","7.16","0.088","0.31","0.166","13.6","0.0507","0.0335","0.025","5"
"Kamrup","2023-05-03","Hepatitis A/E","5","7.63","32.3","7.48","0.221","0.421","0.325","15.4","0.0368","0.0155","0.0156","5"
"Kamrup","2023-05-03","Typhoid","16","7.8","33.4","10.28","0.093","0.31","0.202","7.4","0.0365","0.0108","0.0202","5"
"Kamrup","2023-05-03","Typhoid","10","6.53","33.3","12.32","0.068","0.323","0.211","18.5","0.0364","0.0121","0.0171","5"
